POAM ID,Control,Title,Deployment profile,Status,Practices,Weakness / remaining work,Owner,Owner lane,Scheduled completion
OG-AC-004-gov-cloud,OG-AC-004,Unsuccessful logon attempts are limited,gov-cloud,Partially implemented,03.01.08,"Rate limiting is now REQUIRED in production — `validate_settings()` hard-fails at startup without it (FS-744), which closed a hole where production could run with the only brute-force control switched off and nothing would say so. Still PARTIAL because rate limiting is not lockout: there is no `failed_login_count`, no `locked_until`, and no progressive delay, so an attacker who paces below the limit is unbounded. 800-171 3.1.8 expects the account to lock.",platform-security,hamad,2026-12-31
OG-AC-004-on-prem,OG-AC-004,Unsuccessful logon attempts are limited,on-prem,Partially implemented,03.01.08,"Rate limiting is now REQUIRED in production — `validate_settings()` hard-fails at startup without it (FS-744), which closed a hole where production could run with the only brute-force control switched off and nothing would say so. Still PARTIAL because rate limiting is not lockout: there is no `failed_login_count`, no `locked_until`, and no progressive delay, so an attacker who paces below the limit is unbounded. 800-171 3.1.8 expects the account to lock.",platform-security,hamad,2026-12-31
OG-AU-004-air-gapped,OG-AU-004,Audit records are tamper-evident and the evidence can be verified,air-gapped,Partially implemented,03.03.08,"The chain verifies and detects mutation, deletion and forgery (FS-743). It is still PARTIAL because tamper-EVIDENCE is not tamper-RESISTANCE: `audit_logs` grants no append-only enforcement, so a role with UPDATE/DELETE can still alter rows — the chain proves it happened, it does not prevent it. Needs `REVOKE UPDATE, DELETE` and a WORM export before this is `implemented`.",platform-security,hamad,2026-12-31
OG-AU-004-commercial-cloud,OG-AU-004,Audit records are tamper-evident and the evidence can be verified,commercial-cloud,Partially implemented,03.03.08,"The chain verifies and detects mutation, deletion and forgery (FS-743). It is still PARTIAL because tamper-EVIDENCE is not tamper-RESISTANCE: `audit_logs` grants no append-only enforcement, so a role with UPDATE/DELETE can still alter rows — the chain proves it happened, it does not prevent it. Needs `REVOKE UPDATE, DELETE` and a WORM export before this is `implemented`.",platform-security,hamad,2026-12-31
OG-AU-004-gov-cloud,OG-AU-004,Audit records are tamper-evident and the evidence can be verified,gov-cloud,Partially implemented,03.03.08,"The chain verifies and detects mutation, deletion and forgery (FS-743). It is still PARTIAL because tamper-EVIDENCE is not tamper-RESISTANCE: `audit_logs` grants no append-only enforcement, so a role with UPDATE/DELETE can still alter rows — the chain proves it happened, it does not prevent it. Needs `REVOKE UPDATE, DELETE` and a WORM export before this is `implemented`.",platform-security,hamad,2026-12-31
OG-AU-004-on-prem,OG-AU-004,Audit records are tamper-evident and the evidence can be verified,on-prem,Partially implemented,03.03.08,"The chain verifies and detects mutation, deletion and forgery (FS-743). It is still PARTIAL because tamper-EVIDENCE is not tamper-RESISTANCE: `audit_logs` grants no append-only enforcement, so a role with UPDATE/DELETE can still alter rows — the chain proves it happened, it does not prevent it. Needs `REVOKE UPDATE, DELETE` and a WORM export before this is `implemented`.",platform-security,hamad,2026-12-31
OG-CA-002-air-gapped,OG-CA-002,Plans of action are developed to correct deficiencies,air-gapped,Partially implemented,03.12.02,"Every `partial` and `absent` control in this catalogue carries an owner and a dated remediation note, and a guard fails the build if one does not — so the POA&M cannot acquire an undated line, which is how a POA&M turns into a list nobody revisits. PARTIAL because the renderer that emits it as a POA&M document does not exist yet.",platform-security,hamad,2026-12-31
OG-CA-002-commercial-cloud,OG-CA-002,Plans of action are developed to correct deficiencies,commercial-cloud,Partially implemented,03.12.02,"Every `partial` and `absent` control in this catalogue carries an owner and a dated remediation note, and a guard fails the build if one does not — so the POA&M cannot acquire an undated line, which is how a POA&M turns into a list nobody revisits. PARTIAL because the renderer that emits it as a POA&M document does not exist yet.",platform-security,hamad,2026-12-31
OG-CA-002-gov-cloud,OG-CA-002,Plans of action are developed to correct deficiencies,gov-cloud,Partially implemented,03.12.02,"Every `partial` and `absent` control in this catalogue carries an owner and a dated remediation note, and a guard fails the build if one does not — so the POA&M cannot acquire an undated line, which is how a POA&M turns into a list nobody revisits. PARTIAL because the renderer that emits it as a POA&M document does not exist yet.",platform-security,hamad,2026-12-31
OG-CA-002-on-prem,OG-CA-002,Plans of action are developed to correct deficiencies,on-prem,Partially implemented,03.12.02,"Every `partial` and `absent` control in this catalogue carries an owner and a dated remediation note, and a guard fails the build if one does not — so the POA&M cannot acquire an undated line, which is how a POA&M turns into a list nobody revisits. PARTIAL because the renderer that emits it as a POA&M document does not exist yet.",platform-security,hamad,2026-12-31
OG-CM-002-air-gapped,OG-CM-002,"Changes are tracked, reviewed and approved before they take effect",air-gapped,Partially implemented,03.04.03 03.04.04 03.04.05,"23 blocking CI jobs gate every change and the count is itself asserted so it cannot go stale. RAISED 2026-08-18 (FS-763): **branch protection is now ENABLED on `main` on both remotes** — `allow_force_pushes: false`, `allow_deletions: false`, `enforce_admins: true`, one required approving review. That is what 3.4.5 (enforce access restrictions associated with change) actually asks for, and it is the line that would have stopped the 2026-08-15 force-push of all 17 branches. STILL PARTIAL, for three specific reasons rather than as a hedge. **Required status checks are not configured**: `main` reports zero check runs, so requiring a context that never arrives would make the branch permanently unmergeable — the 23 jobs gate pull requests, they do not yet gate `main` as a protection rule. **The integration branch is unprotected**, deliberately, because four lanes push to it directly and enabling it without notice stops their work. And **four accounts hold repository admin**, any of which can disable the protection just set, so least-privilege review is outstanding. What changed about the incident: the actor IS now identified — repository events show 14 branches force-pushed in 36 seconds by `SoundSafe-Dev`, mirrored to both remotes, which is machine-driven and consistent with the local automation lead rather than an external attacker. The credential still needs rotating, which is a web-session action no script can perform.",platform-infra,hamad,2026-12-31
OG-CM-002-commercial-cloud,OG-CM-002,"Changes are tracked, reviewed and approved before they take effect",commercial-cloud,Partially implemented,03.04.03 03.04.04 03.04.05,"23 blocking CI jobs gate every change and the count is itself asserted so it cannot go stale. RAISED 2026-08-18 (FS-763): **branch protection is now ENABLED on `main` on both remotes** — `allow_force_pushes: false`, `allow_deletions: false`, `enforce_admins: true`, one required approving review. That is what 3.4.5 (enforce access restrictions associated with change) actually asks for, and it is the line that would have stopped the 2026-08-15 force-push of all 17 branches. STILL PARTIAL, for three specific reasons rather than as a hedge. **Required status checks are not configured**: `main` reports zero check runs, so requiring a context that never arrives would make the branch permanently unmergeable — the 23 jobs gate pull requests, they do not yet gate `main` as a protection rule. **The integration branch is unprotected**, deliberately, because four lanes push to it directly and enabling it without notice stops their work. And **four accounts hold repository admin**, any of which can disable the protection just set, so least-privilege review is outstanding. What changed about the incident: the actor IS now identified — repository events show 14 branches force-pushed in 36 seconds by `SoundSafe-Dev`, mirrored to both remotes, which is machine-driven and consistent with the local automation lead rather than an external attacker. The credential still needs rotating, which is a web-session action no script can perform.",platform-infra,hamad,2026-12-31
OG-CM-002-gov-cloud,OG-CM-002,"Changes are tracked, reviewed and approved before they take effect",gov-cloud,Partially implemented,03.04.03 03.04.04 03.04.05,"23 blocking CI jobs gate every change and the count is itself asserted so it cannot go stale. RAISED 2026-08-18 (FS-763): **branch protection is now ENABLED on `main` on both remotes** — `allow_force_pushes: false`, `allow_deletions: false`, `enforce_admins: true`, one required approving review. That is what 3.4.5 (enforce access restrictions associated with change) actually asks for, and it is the line that would have stopped the 2026-08-15 force-push of all 17 branches. STILL PARTIAL, for three specific reasons rather than as a hedge. **Required status checks are not configured**: `main` reports zero check runs, so requiring a context that never arrives would make the branch permanently unmergeable — the 23 jobs gate pull requests, they do not yet gate `main` as a protection rule. **The integration branch is unprotected**, deliberately, because four lanes push to it directly and enabling it without notice stops their work. And **four accounts hold repository admin**, any of which can disable the protection just set, so least-privilege review is outstanding. What changed about the incident: the actor IS now identified — repository events show 14 branches force-pushed in 36 seconds by `SoundSafe-Dev`, mirrored to both remotes, which is machine-driven and consistent with the local automation lead rather than an external attacker. The credential still needs rotating, which is a web-session action no script can perform.",platform-infra,hamad,2026-12-31
OG-CM-002-on-prem,OG-CM-002,"Changes are tracked, reviewed and approved before they take effect",on-prem,Partially implemented,03.04.03 03.04.04 03.04.05,"23 blocking CI jobs gate every change and the count is itself asserted so it cannot go stale. RAISED 2026-08-18 (FS-763): **branch protection is now ENABLED on `main` on both remotes** — `allow_force_pushes: false`, `allow_deletions: false`, `enforce_admins: true`, one required approving review. That is what 3.4.5 (enforce access restrictions associated with change) actually asks for, and it is the line that would have stopped the 2026-08-15 force-push of all 17 branches. STILL PARTIAL, for three specific reasons rather than as a hedge. **Required status checks are not configured**: `main` reports zero check runs, so requiring a context that never arrives would make the branch permanently unmergeable — the 23 jobs gate pull requests, they do not yet gate `main` as a protection rule. **The integration branch is unprotected**, deliberately, because four lanes push to it directly and enabling it without notice stops their work. And **four accounts hold repository admin**, any of which can disable the protection just set, so least-privilege review is outstanding. What changed about the incident: the actor IS now identified — repository events show 14 branches force-pushed in 36 seconds by `SoundSafe-Dev`, mirrored to both remotes, which is machine-driven and consistent with the local automation lead rather than an external attacker. The credential still needs rotating, which is a web-session action no script can perform.",platform-infra,hamad,2026-12-31
OG-IA-002-air-gapped,OG-IA-002,Multifactor authentication for privileged and network access,air-gapped,Partially implemented,03.05.03 03.05.04,"RAISED absent -> partial (FS-750). TOTP (RFC 6238) is implemented for local accounts and **enforced at login**: a confirmed factor makes the correct password alone a 401. That distinction is the whole control — enrolment endpoints without enforcement would have reproduced exactly the defect they replaced, since `keycloak_service.enable_mfa` already existed and was called by nothing. Secrets are AES-256-GCM envelopes, recovery codes are single-use SHA-256 digests, and a code cannot be replayed inside its own window (RFC 6238 s5.2, the step most implementations skip). PARTIAL, not implemented, for two reasons that need decisions rather than code: MFA is currently OPT-IN per user, and 3.5.3 requires it for privileged accounts — enforcement for the `admin` role needs an enrolment grace period and a lockout story before it can be switched on. And it covers local password login only; SSO deployments inherit MFA from the identity provider, which is the right answer but is evidenced there rather than here. Superseded text follows for the record — this WAS the single largest named gap in this catalogue. 3.5.3 requires MFA for local and network access to privileged accounts and for network access to non-privileged accounts. Nothing here provides it. `enable_mfa`/`disable_mfa` exist in `app/services/keycloak_service.py` and are unreachable — this repository's own orphaned-definition guard lists them, so the code is present, untested and called by nothing. Two viable routes: wire the Keycloak TOTP required-action, or mandate SSO-with-MFA for CUI profiles and disable local password auth entirely (the stronger posture, and the one that also serves PIV/CAC). The second is the FIPS workstream's Phase 2 anyway, so these should be done together. `03.05.04` (replay-resistant authentication) rides on the same decision.",platform-security,hamad,2026-12-31
OG-IA-002-commercial-cloud,OG-IA-002,Multifactor authentication for privileged and network access,commercial-cloud,Partially implemented,03.05.03 03.05.04,"RAISED absent -> partial (FS-750). TOTP (RFC 6238) is implemented for local accounts and **enforced at login**: a confirmed factor makes the correct password alone a 401. That distinction is the whole control — enrolment endpoints without enforcement would have reproduced exactly the defect they replaced, since `keycloak_service.enable_mfa` already existed and was called by nothing. Secrets are AES-256-GCM envelopes, recovery codes are single-use SHA-256 digests, and a code cannot be replayed inside its own window (RFC 6238 s5.2, the step most implementations skip). PARTIAL, not implemented, for two reasons that need decisions rather than code: MFA is currently OPT-IN per user, and 3.5.3 requires it for privileged accounts — enforcement for the `admin` role needs an enrolment grace period and a lockout story before it can be switched on. And it covers local password login only; SSO deployments inherit MFA from the identity provider, which is the right answer but is evidenced there rather than here. Superseded text follows for the record — this WAS the single largest named gap in this catalogue. 3.5.3 requires MFA for local and network access to privileged accounts and for network access to non-privileged accounts. Nothing here provides it. `enable_mfa`/`disable_mfa` exist in `app/services/keycloak_service.py` and are unreachable — this repository's own orphaned-definition guard lists them, so the code is present, untested and called by nothing. Two viable routes: wire the Keycloak TOTP required-action, or mandate SSO-with-MFA for CUI profiles and disable local password auth entirely (the stronger posture, and the one that also serves PIV/CAC). The second is the FIPS workstream's Phase 2 anyway, so these should be done together. `03.05.04` (replay-resistant authentication) rides on the same decision.",platform-security,hamad,2026-12-31
OG-IA-002-gov-cloud,OG-IA-002,Multifactor authentication for privileged and network access,gov-cloud,Partially implemented,03.05.03 03.05.04,"RAISED absent -> partial (FS-750). TOTP (RFC 6238) is implemented for local accounts and **enforced at login**: a confirmed factor makes the correct password alone a 401. That distinction is the whole control — enrolment endpoints without enforcement would have reproduced exactly the defect they replaced, since `keycloak_service.enable_mfa` already existed and was called by nothing. Secrets are AES-256-GCM envelopes, recovery codes are single-use SHA-256 digests, and a code cannot be replayed inside its own window (RFC 6238 s5.2, the step most implementations skip). PARTIAL, not implemented, for two reasons that need decisions rather than code: MFA is currently OPT-IN per user, and 3.5.3 requires it for privileged accounts — enforcement for the `admin` role needs an enrolment grace period and a lockout story before it can be switched on. And it covers local password login only; SSO deployments inherit MFA from the identity provider, which is the right answer but is evidenced there rather than here. Superseded text follows for the record — this WAS the single largest named gap in this catalogue. 3.5.3 requires MFA for local and network access to privileged accounts and for network access to non-privileged accounts. Nothing here provides it. `enable_mfa`/`disable_mfa` exist in `app/services/keycloak_service.py` and are unreachable — this repository's own orphaned-definition guard lists them, so the code is present, untested and called by nothing. Two viable routes: wire the Keycloak TOTP required-action, or mandate SSO-with-MFA for CUI profiles and disable local password auth entirely (the stronger posture, and the one that also serves PIV/CAC). The second is the FIPS workstream's Phase 2 anyway, so these should be done together. `03.05.04` (replay-resistant authentication) rides on the same decision.",platform-security,hamad,2026-12-31
OG-IA-002-on-prem,OG-IA-002,Multifactor authentication for privileged and network access,on-prem,Partially implemented,03.05.03 03.05.04,"RAISED absent -> partial (FS-750). TOTP (RFC 6238) is implemented for local accounts and **enforced at login**: a confirmed factor makes the correct password alone a 401. That distinction is the whole control — enrolment endpoints without enforcement would have reproduced exactly the defect they replaced, since `keycloak_service.enable_mfa` already existed and was called by nothing. Secrets are AES-256-GCM envelopes, recovery codes are single-use SHA-256 digests, and a code cannot be replayed inside its own window (RFC 6238 s5.2, the step most implementations skip). PARTIAL, not implemented, for two reasons that need decisions rather than code: MFA is currently OPT-IN per user, and 3.5.3 requires it for privileged accounts — enforcement for the `admin` role needs an enrolment grace period and a lockout story before it can be switched on. And it covers local password login only; SSO deployments inherit MFA from the identity provider, which is the right answer but is evidenced there rather than here. Superseded text follows for the record — this WAS the single largest named gap in this catalogue. 3.5.3 requires MFA for local and network access to privileged accounts and for network access to non-privileged accounts. Nothing here provides it. `enable_mfa`/`disable_mfa` exist in `app/services/keycloak_service.py` and are unreachable — this repository's own orphaned-definition guard lists them, so the code is present, untested and called by nothing. Two viable routes: wire the Keycloak TOTP required-action, or mandate SSO-with-MFA for CUI profiles and disable local password auth entirely (the stronger posture, and the one that also serves PIV/CAC). The second is the FIPS workstream's Phase 2 anyway, so these should be done together. `03.05.04` (replay-resistant authentication) rides on the same decision.",platform-security,hamad,2026-12-31
OG-AC-003-air-gapped,OG-AC-003,Privileged functions are restricted to a defined role vocabulary,air-gapped,Partially implemented,03.01.05 03.01.07,"Three ranked roles (viewer < operator < admin), enforced with a CHECK constraint and a single source of truth that raises at import on an unknown name. PARTIAL because least privilege is coarse at this granularity — there is no per-resource permission model — and because privileged execution is only partly captured in the audit log (the middleware covers 18 route templates; see OG-AU-001). Kubernetes RBAC is separately thin: only the monitoring stack has Roles.",platform-security,hamad,2027-01-31
OG-AC-003-commercial-cloud,OG-AC-003,Privileged functions are restricted to a defined role vocabulary,commercial-cloud,Partially implemented,03.01.05 03.01.07,"Three ranked roles (viewer < operator < admin), enforced with a CHECK constraint and a single source of truth that raises at import on an unknown name. PARTIAL because least privilege is coarse at this granularity — there is no per-resource permission model — and because privileged execution is only partly captured in the audit log (the middleware covers 18 route templates; see OG-AU-001). Kubernetes RBAC is separately thin: only the monitoring stack has Roles.",platform-security,hamad,2027-01-31
OG-AC-003-gov-cloud,OG-AC-003,Privileged functions are restricted to a defined role vocabulary,gov-cloud,Partially implemented,03.01.05 03.01.07,"Three ranked roles (viewer < operator < admin), enforced with a CHECK constraint and a single source of truth that raises at import on an unknown name. PARTIAL because least privilege is coarse at this granularity — there is no per-resource permission model — and because privileged execution is only partly captured in the audit log (the middleware covers 18 route templates; see OG-AU-001). Kubernetes RBAC is separately thin: only the monitoring stack has Roles.",platform-security,hamad,2027-01-31
OG-AC-003-on-prem,OG-AC-003,Privileged functions are restricted to a defined role vocabulary,on-prem,Partially implemented,03.01.05 03.01.07,"Three ranked roles (viewer < operator < admin), enforced with a CHECK constraint and a single source of truth that raises at import on an unknown name. PARTIAL because least privilege is coarse at this granularity — there is no per-resource permission model — and because privileged execution is only partly captured in the audit log (the middleware covers 18 route templates; see OG-AU-001). Kubernetes RBAC is separately thin: only the monitoring stack has Roles.",platform-security,hamad,2027-01-31
OG-AC-005-air-gapped,OG-AC-005,Sessions terminate on a defined condition and can be revoked immediately,air-gapped,Partially implemented,03.01.11,Refresh tokens are stored as SHA-256 hashes with single-use rotation and `replaced_by_jti` lineage; a durable `revoked_tokens` denylist is checked on every request; access tokens carry `sid` binding them to a live session so deactivation propagates across replicas immediately; concurrent sessions are capped at 3. PARTIAL because termination is time-based (30 min access / 7 day refresh) with no inactivity-based expiry.,platform-security,hamad,2027-01-31
OG-AC-005-commercial-cloud,OG-AC-005,Sessions terminate on a defined condition and can be revoked immediately,commercial-cloud,Partially implemented,03.01.11,Refresh tokens are stored as SHA-256 hashes with single-use rotation and `replaced_by_jti` lineage; a durable `revoked_tokens` denylist is checked on every request; access tokens carry `sid` binding them to a live session so deactivation propagates across replicas immediately; concurrent sessions are capped at 3. PARTIAL because termination is time-based (30 min access / 7 day refresh) with no inactivity-based expiry.,platform-security,hamad,2027-01-31
OG-AC-005-gov-cloud,OG-AC-005,Sessions terminate on a defined condition and can be revoked immediately,gov-cloud,Partially implemented,03.01.11,Refresh tokens are stored as SHA-256 hashes with single-use rotation and `replaced_by_jti` lineage; a durable `revoked_tokens` denylist is checked on every request; access tokens carry `sid` binding them to a live session so deactivation propagates across replicas immediately; concurrent sessions are capped at 3. PARTIAL because termination is time-based (30 min access / 7 day refresh) with no inactivity-based expiry.,platform-security,hamad,2027-01-31
OG-AC-005-on-prem,OG-AC-005,Sessions terminate on a defined condition and can be revoked immediately,on-prem,Partially implemented,03.01.11,Refresh tokens are stored as SHA-256 hashes with single-use rotation and `replaced_by_jti` lineage; a durable `revoked_tokens` denylist is checked on every request; access tokens carry `sid` binding them to a live session so deactivation propagates across replicas immediately; concurrent sessions are capped at 3. PARTIAL because termination is time-based (30 min access / 7 day refresh) with no inactivity-based expiry.,platform-security,hamad,2027-01-31
OG-AC-006-air-gapped,OG-AC-006,Session lock after inactivity,air-gapped,Not implemented,03.01.10,No idle lock or auto-logout exists in the frontend. A named L2 practice and a visible one — an assessor sits at an unattended browser to check it.,platform-security,hamad,2027-01-31
OG-AC-006-commercial-cloud,OG-AC-006,Session lock after inactivity,commercial-cloud,Not implemented,03.01.10,No idle lock or auto-logout exists in the frontend. A named L2 practice and a visible one — an assessor sits at an unattended browser to check it.,platform-security,hamad,2027-01-31
OG-AC-006-gov-cloud,OG-AC-006,Session lock after inactivity,gov-cloud,Not implemented,03.01.10,No idle lock or auto-logout exists in the frontend. A named L2 practice and a visible one — an assessor sits at an unattended browser to check it.,platform-security,hamad,2027-01-31
OG-AC-006-on-prem,OG-AC-006,Session lock after inactivity,on-prem,Not implemented,03.01.10,No idle lock or auto-logout exists in the frontend. A named L2 practice and a visible one — an assessor sits at an unattended browser to check it.,platform-security,hamad,2027-01-31
OG-AU-006-air-gapped,OG-AU-006,"Audit records carry a synchronised, unambiguous timestamp",air-gapped,Partially implemented,03.03.07,"Backend records are aware-UTC and a repo-wide guard forbids naive `utcnow`. Still PARTIAL everywhere: there is no configured authoritative time source, and the edge skew estimator can only sample while the cloud is reachable. `air-gapped` moved from `absent` to `partial` on 2026-08-18 (FS-760, DDIL S8) and the reason is narrow enough to state exactly. An air-gapped device still cannot synchronise and still has no correction available. What changed is that the correction the estimator DID compute was never applied to a reading — `ClockSkewEstimator.correct()` had no callers — and every row now carries `time_quality` (synced | holdover | unsynced | unknown) saying what its timestamp is worth. The data no longer claims a precision it does not have, and an assessor can query for the readings that cannot be trusted for ordering. That is honest labelling, not synchronisation, which is why nothing moved to `implemented`.",platform-security,hamad,2027-01-31
OG-AU-006-commercial-cloud,OG-AU-006,"Audit records carry a synchronised, unambiguous timestamp",commercial-cloud,Partially implemented,03.03.07,"Backend records are aware-UTC and a repo-wide guard forbids naive `utcnow`. Still PARTIAL everywhere: there is no configured authoritative time source, and the edge skew estimator can only sample while the cloud is reachable. `air-gapped` moved from `absent` to `partial` on 2026-08-18 (FS-760, DDIL S8) and the reason is narrow enough to state exactly. An air-gapped device still cannot synchronise and still has no correction available. What changed is that the correction the estimator DID compute was never applied to a reading — `ClockSkewEstimator.correct()` had no callers — and every row now carries `time_quality` (synced | holdover | unsynced | unknown) saying what its timestamp is worth. The data no longer claims a precision it does not have, and an assessor can query for the readings that cannot be trusted for ordering. That is honest labelling, not synchronisation, which is why nothing moved to `implemented`.",platform-security,hamad,2027-01-31
OG-AU-006-gov-cloud,OG-AU-006,"Audit records carry a synchronised, unambiguous timestamp",gov-cloud,Partially implemented,03.03.07,"Backend records are aware-UTC and a repo-wide guard forbids naive `utcnow`. Still PARTIAL everywhere: there is no configured authoritative time source, and the edge skew estimator can only sample while the cloud is reachable. `air-gapped` moved from `absent` to `partial` on 2026-08-18 (FS-760, DDIL S8) and the reason is narrow enough to state exactly. An air-gapped device still cannot synchronise and still has no correction available. What changed is that the correction the estimator DID compute was never applied to a reading — `ClockSkewEstimator.correct()` had no callers — and every row now carries `time_quality` (synced | holdover | unsynced | unknown) saying what its timestamp is worth. The data no longer claims a precision it does not have, and an assessor can query for the readings that cannot be trusted for ordering. That is honest labelling, not synchronisation, which is why nothing moved to `implemented`.",platform-security,hamad,2027-01-31
